buyer_id,sex,occupation,year_of_birth,phone_n,channel
90,M,Self-employed,1964,024-813-8565,Incidental
91,M,Clerk,1971,072-915-2419,Friends
92,M,Self-employed,1964,065-197-2443,Radio
93,M,Clerk,1977,037-212-1616,Friends
94,F,Clerk,1987,059-783-8123,Incidental
95,M,Unemployed,1964,089-473-6773,Radio
96,M,Student,1986,076-783-6925,Outdoor advertising
97,F,Clerk,1980,056-886-3642,Incidental
98,F,Clerk,1984,054-245-6361,Friends
99,M,Student,1984,094-713-8632,Outdoor advertising
100,F,Unemployed,1989,043-512-3214,Friends
101,F,Student,1980,021-543-4214,Friends
102,F,Clerk,1975,085-353-6882,Internet
103,M,Clerk,1977,088-638-9138,Friends
104,M,Clerk,1991,065-144-8423,Internet
105,F,Civil servant,1986,018-626-8377,Incidental
106,F,Self-employed,1976,025-753-8145,Incidental
107,M,Student,1962,076-935-6431,Incidental
108,M,Clerk,1979,038-364-9986,Internet
109,F,Clerk,1992,064-343-9736,Radio
110,F,Self-employed,1965,055-457-9556,Internet
111,F,Student,1961,098-233-4319,Outdoor advertising
112,F,Clerk,1991,093-161-2648,Outdoor advertising
113,F,Clerk,1984,022-337-2461,Friends
114,M,Clerk,1987,081-361-1859,Outdoor advertising
115,M,Self-employed,1972,036-219-2656,Outdoor advertising
116,F,Self-employed,1964,085-828-2965,Incidental
117,F,Unemployed,1986,062-918-6658,Internet
118,F,Clerk,1969,097-866-7862,Radio
119,F,Student,1990,043-532-5135,Incidental
120,F,Unemployed,1990,019-289-5838,Friends
121,F,Student,1976,071-629-7968,Radio
122,F,Civil servant,1976,094-618-6166,Internet
123,M,Clerk,1975,069-882-5971,Incidental
124,F,Unemployed,1971,036-297-5537,Outdoor advertising
125,F,Clerk,1978,056-463-5578,Outdoor advertising
126,F,Clerk,1978,094-637-8115,Friends
127,F,Self-employed,1987,026-679-7199,Radio
128,F,Self-employed,1981,021-992-3731,Outdoor advertising
129,M,Civil servant,1970,027-122-5986,Friends
130,F,Civil servant,1976,067-682-2985,Radio
131,M,Clerk,1982,035-358-8392,Incidental
132,M,Self-employed,1966,071-965-6518,Radio
133,F,Clerk,1988,044-247-4228,Friends
134,M,Clerk,1978,061-358-4885,Outdoor advertising
135,F,Self-employed,1967,032-265-6962,Outdoor advertising
136,F,Civil servant,1969,023-893-4944,Outdoor advertising
137,F,Self-employed,1972,084-141-2511,Friends
138,F,Student,1987,087-889-7528,Incidental
139,F,Student,1990,091-724-2791,Friends
140,M,Civil servant,1992,053-229-3122,Friends
141,F,Self-employed,1969,034-319-5382,Outdoor advertising
142,F,Clerk,1981,042-149-3534,Internet
143,F,Unemployed,1991,077-315-6266,Outdoor advertising
144,M,Student,1962,056-193-9192,Outdoor advertising
145,F,Clerk,1962,012-834-2124,Internet
146,F,Self-employed,1970,044-681-3457,Outdoor advertising
147,M,Clerk,1982,066-241-1965,Outdoor advertising
148,M,Civil servant,1975,081-458-1341,Outdoor advertising
149,F,Clerk,1979,012-168-2365,Incidental
150,F,Unemployed,1962,098-675-8738,Outdoor advertising
151,F,Self-employed,1974,057-126-2178,Outdoor advertising
152,F,Unemployed,1967,012-579-7754,Internet
153,M,Clerk,1991,089-693-7551,Internet
154,M,Clerk,1960,087-449-2584,Outdoor advertising
155,F,Clerk,1961,071-443-8142,Outdoor advertising
156,M,Unemployed,1989,078-196-3315,Outdoor advertising
157,M,Self-employed,1988,094-237-1151,Internet
158,F,Clerk,1986,099-546-2168,Incidental
159,M,Clerk,1979,049-195-3996,Radio
160,F,Unemployed,1962,022-627-4157,Friends
161,F,Unemployed,1974,069-965-7525,Outdoor advertising
162,M,Self-employed,1985,021-471-9672,Radio
163,M,Civil servant,1971,066-568-9819,Internet
164,F,Self-employed,1978,021-958-1597,Outdoor advertising
165,M,Student,1984,072-862-5691,Internet
166,F,Civil servant,1976,018-192-7966,Incidental
167,M,Clerk,1964,066-158-1181,Outdoor advertising
168,F,Self-employed,1972,087-361-1667,Friends
169,F,Civil servant,1969,088-266-8589,Outdoor advertising
170,M,Self-employed,1976,094-762-1913,Incidental
171,M,Student,1978,015-578-2131,Friends
172,M,Student,1961,041-481-3191,Internet
173,F,Clerk,1990,072-877-5832,Friends
174,M,Clerk,1965,096-467-4335,Outdoor advertising
175,M,Student,1973,079-464-7331,Internet
176,M,Self-employed,1960,045-848-2559,Radio
177,F,Clerk,1991,019-416-6347,Friends
178,F,Self-employed,1982,091-261-2224,Radio
179,F,Civil servant,1988,078-437-7728,Outdoor advertising
180,F,Self-employed,1980,094-755-5711,Friends
181,F,Student,1989,026-645-8165,Internet
182,M,Clerk,1964,048-291-9155,Incidental
183,F,Clerk,1969,067-717-5339,Internet
184,F,Clerk,1991,041-874-9994,Outdoor advertising
185,F,Student,1978,037-157-8965,Outdoor advertising
186,F,Clerk,1973,033-257-9839,Outdoor advertising
187,M,Clerk,1965,082-872-4283,Outdoor advertising
188,M,Clerk,1967,032-264-6296,Outdoor advertising
189,M,Clerk,1985,045-665-4793,Outdoor advertising
190,F,Self-employed,1973,093-553-4213,Incidental
191,M,Clerk,1983,066-623-8382,Internet
192,M,Civil servant,1962,086-956-1172,Friends
193,M,Unemployed,1986,054-524-4773,Outdoor advertising
194,M,Unemployed,1978,084-331-1116,Incidental
195,F,Clerk,1973,084-623-9172,Internet
196,M,Civil servant,1973,039-797-9953,Friends
197,M,Unemployed,1984,083-962-7372,Friends
198,M,Clerk,1987,036-435-5748,Friends
199,F,Clerk,1992,094-118-8988,Friends
200,F,Student,1960,034-586-1532,Internet
201,F,Self-employed,1965,084-374-8993,Outdoor advertising
202,F,Clerk,1983,085-193-1248,Friends
203,M,Clerk,1971,065-612-6655,Internet
204,F,Clerk,1977,046-674-2568,Internet
205,F,Unemployed,1963,042-293-9863,Outdoor advertising
206,F,Student,1972,017-973-6981,Outdoor advertising
207,F,Clerk,1984,048-331-6199,Outdoor advertising
208,F,Self-employed,1991,017-395-6987,Outdoor advertising
209,M,Self-employed,1971,052-454-2821,Internet
210,F,Unemployed,1983,061-411-5449,Outdoor advertising
211,F,Clerk,1989,073-857-4798,Radio
212,F,Unemployed,1982,041-738-1292,Outdoor advertising
213,F,Unemployed,1976,072-136-9883,Outdoor advertising
214,M,Civil servant,1990,031-917-6153,Friends
215,F,Civil servant,1975,095-448-4672,Outdoor advertising
216,F,Clerk,1974,079-726-2982,Outdoor advertising
217,F,Clerk,1979,053-678-3352,Outdoor advertising
218,M,Civil servant,1983,032-464-1121,Outdoor advertising
219,F,Student,1968,057-715-4186,Internet
220,M,Clerk,1980,043-973-6725,Outdoor advertising
221,F,Student,1981,038-451-4198,Internet
222,M,Self-employed,1974,079-867-9789,Outdoor advertising
223,F,Clerk,1968,039-854-6765,Internet
224,F,Clerk,1981,051-954-4984,Internet
225,F,Unemployed,1978,045-843-5975,Internet
226,F,Self-employed,1977,055-887-6166,Outdoor advertising
227,F,Clerk,1963,036-657-3734,Outdoor advertising
228,F,Clerk,1966,058-159-6242,Internet
229,M,Clerk,1982,068-838-6579,Outdoor advertising
230,F,Unemployed,1990,029-866-3818,Friends
231,F,Clerk,1963,088-553-2283,Outdoor advertising
232,M,Clerk,1977,077-917-8715,Incidental
233,M,Self-employed,1970,071-517-9716,Friends
234,F,Clerk,1964,012-549-4969,Outdoor advertising
235,M,Clerk,1966,027-731-3453,Internet
236,M,Student,1976,092-276-3799,Outdoor advertising
237,M,Clerk,1983,066-173-2539,Incidental
238,F,Clerk,1967,064-399-6323,Internet
239,M,Self-employed,1960,011-257-9635,Radio
240,F,Self-employed,1969,055-138-7444,Outdoor advertising
241,F,Unemployed,1970,096-498-6336,Friends
242,F,Clerk,1972,029-938-5439,Outdoor advertising
243,F,Student,1961,083-174-6281,Internet
244,F,Self-employed,1987,079-499-1199,Friends
245,M,Clerk,1985,012-659-1517,Outdoor advertising
246,M,Student,1985,019-395-1946,Friends
247,F,Self-employed,1964,018-525-3759,Outdoor advertising
248,F,Clerk,1961,062-333-3393,Outdoor advertising
249,M,Student,1991,016-275-3162,Friends
250,M,Student,1976,072-487-5426,Outdoor advertising
251,F,Clerk,1986,039-773-1624,Outdoor advertising
252,F,Clerk,1962,058-782-5849,Radio
253,F,Student,1977,093-448-4931,Outdoor advertising
254,F,Clerk,1975,069-925-4385,Outdoor advertising
255,M,Clerk,1978,094-849-3631,Internet
256,F,Clerk,1983,014-591-5477,Friends
257,M,Civil servant,1981,063-929-4918,Outdoor advertising
258,M,Student,1977,077-287-5796,Incidental
259,F,Student,1970,059-262-7514,Internet
260,M,Civil servant,1964,072-819-1633,Internet
261,F,Clerk,1984,053-861-2969,Radio
262,M,Student,1970,093-631-2638,Incidental
263,M,Student,1986,072-917-2782,Outdoor advertising
264,F,Clerk,1975,065-399-1414,Internet
265,F,Self-employed,1980,078-832-3182,Outdoor advertising
266,F,Clerk,1973,034-275-8783,Friends
267,F,Clerk,1977,089-915-7898,Outdoor advertising
268,M,Self-employed,1976,098-913-7298,Outdoor advertising
269,M,Clerk,1984,034-697-1922,Outdoor advertising
270,F,Clerk,1974,025-876-8623,Outdoor advertising
271,F,Clerk,1981,036-215-8356,Outdoor advertising
272,F,Clerk,1966,063-269-8674,Internet
273,F,Self-employed,1972,016-125-1287,Radio
274,M,Self-employed,1974,032-567-5835,Friends
275,F,Clerk,1987,086-258-4433,Friends
276,F,Clerk,1970,083-448-7426,Outdoor advertising
277,F,Self-employed,1986,074-234-3795,Friends
278,F,Self-employed,1960,052-334-5418,Internet
279,F,Self-employed,1974,046-342-1211,Outdoor advertising
280,F,Unemployed,1982,056-995-4526,Friends
281,F,Clerk,1984,085-799-5237,Outdoor advertising
282,F,Student,1981,087-865-7825,Outdoor advertising
283,M,Clerk,1975,035-271-2125,Friends
284,F,Student,1977,018-767-5252,Outdoor advertising
285,F,Self-employed,1985,021-285-3171,Outdoor advertising
286,F,Self-employed,1973,033-478-3351,Outdoor advertising
287,M,Clerk,1964,071-366-7798,Internet
288,M,Clerk,1964,031-711-2649,Outdoor advertising
289,F,Student,1973,047-623-5642,Internet
290,M,Unemployed,1990,055-239-4348,Incidental
291,F,Student,1968,045-772-8873,Outdoor advertising
292,F,Student,1979,023-345-2268,Outdoor advertising
293,F,Clerk,1984,056-599-9499,Outdoor advertising
294,F,Student,1966,058-153-9862,Outdoor advertising
295,F,Clerk,1985,072-514-3882,Radio
296,F,Student,1969,062-156-2956,Outdoor advertising
297,F,Self-employed,1965,075-311-9649,Incidental
298,M,Unemployed,1972,054-974-9742,Internet
299,M,Clerk,1961,079-936-8324,Friends
300,F,Clerk,1981,087-595-2653,Friends
301,F,Civil servant,1972,067-155-5895,Outdoor advertising
302,M,Civil servant,1967,028-623-1177,Outdoor advertising
303,M,Self-employed,1983,019-332-6716,Friends
304,F,Clerk,1987,014-314-5835,Incidental
305,F,Clerk,1961,086-961-4392,Outdoor advertising
306,F,Clerk,1977,081-189-2439,Incidental
307,F,Clerk,1981,018-345-2716,Internet
308,M,Clerk,1963,022-291-6249,Outdoor advertising
309,F,Self-employed,1988,023-839-1526,Outdoor advertising
310,M,Civil servant,1975,047-939-6685,Outdoor advertising
311,F,Self-employed,1973,097-581-6344,Outdoor advertising
312,F,Civil servant,1976,089-618-2998,Internet
313,F,Clerk,1976,083-423-7647,Radio
314,F,Clerk,1964,094-523-1781,Internet
315,F,Clerk,1964,041-651-3121,Incidental
316,M,Clerk,1974,079-428-3351,Radio
317,M,Self-employed,1966,092-437-7312,Incidental
318,M,Clerk,1971,055-233-9986,Outdoor advertising
319,F,Unemployed,1981,082-929-1896,Internet
320,M,Clerk,1976,059-195-2912,Outdoor advertising
321,F,Unemployed,1986,055-826-6477,Radio
322,M,Unemployed,1991,057-643-2537,Internet
323,M,Student,1989,072-774-3283,Internet
324,F,Self-employed,1989,086-611-1876,Internet
325,F,Self-employed,1983,075-882-2765,Outdoor advertising
326,F,Civil servant,1975,092-317-1433,Outdoor advertising
327,F,Clerk,1980,047-363-4879,Outdoor advertising
328,M,Clerk,1980,011-366-1488,Outdoor advertising
329,M,Student,1989,097-679-3524,Outdoor advertising
330,F,Self-employed,1975,087-158-6653,Internet
331,F,Self-employed,1975,049-212-7423,Radio
332,F,Self-employed,1967,049-677-8513,Outdoor advertising
333,M,Clerk,1989,062-246-9191,Outdoor advertising
334,F,Self-employed,1970,037-955-1919,Friends
335,M,Clerk,1976,021-249-1671,Friends
336,F,Civil servant,1971,097-271-5597,Outdoor advertising
337,M,Student,1992,083-775-6819,Outdoor advertising
338,M,Student,1960,058-176-9582,Friends
339,F,Clerk,1961,038-178-3844,Radio
340,F,Self-employed,1992,011-714-4673,Radio
341,F,Civil servant,1968,069-648-2646,Friends
342,F,Self-employed,1987,085-696-9932,Incidental
343,M,Self-employed,1964,045-764-6477,Outdoor advertising
344,F,Self-employed,1989,067-616-7446,Friends
345,M,Clerk,1982,043-554-1478,Internet
346,M,Civil servant,1979,088-863-5694,Outdoor advertising
347,M,Clerk,1973,075-615-5621,Internet
348,F,Clerk,1990,068-599-5718,Internet
349,M,Unemployed,1981,044-942-7134,Internet
350,M,Self-employed,1972,084-463-7971,Friends
351,F,Unemployed,1984,014-764-5394,Internet
352,F,Self-employed,1961,037-684-5857,Internet
353,F,Student,1973,029-525-4633,Radio
354,M,Clerk,1979,093-742-2466,Outdoor advertising
355,M,Clerk,1963,011-272-8739,Outdoor advertising
356,F,Self-employed,1985,038-295-3225,Outdoor advertising
357,F,Self-employed,1976,033-411-9594,Outdoor advertising
358,F,Civil servant,1968,039-585-4766,Friends
359,M,Student,1992,072-883-9747,Friends
360,F,Clerk,1968,086-422-4218,Friends
361,M,Civil servant,1980,077-828-4324,Outdoor advertising
362,F,Clerk,1992,087-881-1237,Outdoor advertising
363,F,Clerk,1961,015-749-7385,Incidental
364,M,Unemployed,1991,046-861-5815,Incidental
365,F,Clerk,1989,044-335-9195,Internet
366,F,Self-employed,1991,016-156-4621,Radio
367,M,Civil servant,1977,014-711-9175,Incidental
368,M,Self-employed,1979,039-838-3162,Outdoor advertising
369,M,Civil servant,1978,077-632-1798,Outdoor advertising
370,F,Clerk,1967,027-667-7985,Outdoor advertising
371,F,Clerk,1978,047-113-1689,Outdoor advertising
372,M,Unemployed,1966,052-848-9997,Outdoor advertising
373,M,Clerk,1982,097-799-4525,Radio
374,F,Clerk,1977,099-963-8852,Outdoor advertising
375,F,Student,1961,038-532-6359,Friends
376,M,Civil servant,1983,081-648-7813,Outdoor advertising
377,M,Unemployed,1978,034-139-6175,Outdoor advertising
378,M,Clerk,1967,033-129-6374,Outdoor advertising
379,F,Civil servant,1985,089-154-8554,Outdoor advertising
380,F,Clerk,1980,036-514-9681,Outdoor advertising
381,F,Unemployed,1968,043-129-3675,Outdoor advertising
382,M,Self-employed,1970,038-598-7321,Outdoor advertising
383,F,Unemployed,1976,077-849-7594,Outdoor advertising
384,F,Clerk,1985,048-472-2758,Radio
385,F,Unemployed,1984,091-142-8716,Internet
386,M,Self-employed,1967,019-375-6362,Friends
387,F,Unemployed,1972,041-411-4448,Friends
388,M,Clerk,1965,018-439-4154,Outdoor advertising
389,M,Clerk,1987,082-818-7411,Internet
390,F,Self-employed,1971,066-835-3728,Internet
391,M,Student,1978,022-667-4226,Internet
392,F,Student,1972,047-824-3386,Outdoor advertising
393,F,Clerk,1971,065-817-3236,Friends
394,F,Student,1983,017-617-1873,Radio
395,F,Clerk,1968,019-668-4521,Radio
396,M,Clerk,1969,091-173-4859,Outdoor advertising
397,M,Clerk,1967,011-948-7123,Internet
398,F,Clerk,1960,045-852-9941,Outdoor advertising
399,M,Clerk,1962,034-372-5938,Friends
400,F,Clerk,1977,093-554-5951,Friends
401,F,Clerk,1966,076-912-6759,Friends
402,F,Clerk,1967,074-929-1592,Outdoor advertising
403,M,Clerk,1976,032-546-9613,Outdoor advertising
404,F,Self-employed,1982,048-459-7121,Incidental
405,M,Unemployed,1975,085-884-1178,Friends
406,M,Clerk,1970,079-451-4481,Incidental
407,M,Student,1976,071-457-3421,Friends
408,F,Student,1982,024-756-6651,Outdoor advertising
409,M,Clerk,1960,074-121-9665,Friends
410,M,Clerk,1981,091-921-9969,Outdoor advertising
411,F,Self-employed,1980,039-612-4297,Internet
412,M,Clerk,1992,077-654-2588,Incidental
413,M,Clerk,1974,074-489-8262,Radio
414,M,Self-employed,1991,046-393-3968,Friends
415,M,Self-employed,1976,017-424-9644,Radio
416,F,Student,1974,094-812-9891,Friends
417,M,Self-employed,1970,079-581-4827,Outdoor advertising
418,M,Student,1976,049-818-8315,Outdoor advertising
419,F,Clerk,1988,055-496-9296,Radio
420,F,Clerk,1978,019-657-7642,Outdoor advertising
421,F,Clerk,1984,031-329-7456,Outdoor advertising
422,M,Clerk,1980,034-669-9495,Internet
423,F,Clerk,1990,037-478-1927,Outdoor advertising
424,F,Clerk,1980,093-841-3593,Friends
425,F,Clerk,1985,039-158-5322,Radio
426,M,Clerk,1967,088-727-3862,Friends
427,F,Self-employed,1985,017-399-5163,Outdoor advertising
428,F,Self-employed,1970,091-643-3538,Internet
429,M,Student,1986,012-694-5338,Friends
430,F,Self-employed,1982,078-546-8619,Outdoor advertising
431,M,Unemployed,1988,018-691-3148,Radio
432,F,Self-employed,1977,073-167-8627,Outdoor advertising
433,M,Student,1972,088-176-7732,Outdoor advertising
434,F,Clerk,1980,099-531-1652,Radio
435,M,Clerk,1971,012-738-1219,Friends
436,M,Clerk,1973,044-567-6685,Outdoor advertising
437,M,Clerk,1961,021-834-9694,Friends
438,M,Clerk,1984,035-364-3253,Internet
439,F,Clerk,1971,087-956-3532,Radio
440,M,Self-employed,1974,028-335-7596,Outdoor advertising
441,F,Clerk,1965,045-898-3986,Outdoor advertising
442,M,Clerk,1991,088-978-5971,Outdoor advertising
443,F,Clerk,1985,029-435-4268,Radio
444,M,Self-employed,1985,033-549-7773,Friends
445,M,Student,1980,084-957-7293,Radio
446,M,Clerk,1962,076-143-5961,Outdoor advertising
447,M,Clerk,1977,081-355-5974,Outdoor advertising
448,M,Self-employed,1974,029-259-6837,Outdoor advertising
449,F,Student,1965,024-774-8597,Internet
450,M,Self-employed,1976,056-497-9536,Friends
451,F,Unemployed,1965,012-714-1942,Outdoor advertising
452,F,Unemployed,1989,043-486-6897,Friends
453,F,Student,1963,091-671-9462,Outdoor advertising
454,F,Self-employed,1991,057-894-4777,Internet
455,F,Unemployed,1983,051-534-2473,Outdoor advertising
456,F,Clerk,1968,024-581-1374,Outdoor advertising
457,F,Self-employed,1978,056-294-4892,Incidental
458,M,Self-employed,1988,089-931-1271,Outdoor advertising
459,F,Student,1967,051-792-1214,Outdoor advertising
460,F,Student,1967,014-993-4557,Internet
461,F,Unemployed,1991,083-661-4871,Outdoor advertising
462,F,Student,1991,072-737-9654,Friends
463,F,Civil servant,1991,013-481-5795,Radio
464,F,Self-employed,1981,023-153-1337,Friends
465,F,Clerk,1975,059-726-2468,Friends
466,F,Clerk,1987,059-668-9378,Friends
467,M,Clerk,1960,044-836-8882,Friends
468,M,Clerk,1977,055-655-1524,Radio
469,M,Student,1974,097-577-4986,Incidental
470,F,Self-employed,1985,017-934-2212,Outdoor advertising
471,M,Self-employed,1960,023-333-6774,Internet
472,F,Self-employed,1961,071-556-4415,Outdoor advertising
473,F,Clerk,1975,099-294-2177,Outdoor advertising
474,M,Clerk,1962,084-136-5112,Friends
475,F,Clerk,1981,053-231-3296,Outdoor advertising
476,F,Student,1987,019-762-6332,Radio
477,F,Clerk,1973,076-778-5688,Outdoor advertising
478,F,Self-employed,1975,064-211-2164,Outdoor advertising
479,M,Self-employed,1991,035-511-8198,Radio
480,F,Clerk,1983,041-846-4936,Outdoor advertising
481,F,Self-employed,1966,061-127-1292,Outdoor advertising
482,M,Clerk,1968,017-947-7939,Friends
483,F,Civil servant,1982,029-868-1559,Internet
484,F,Civil servant,1991,073-482-2944,Friends
485,M,Clerk,1992,016-311-9612,Incidental
486,M,Clerk,1962,095-165-5728,Friends
487,M,Student,1986,026-757-2434,Internet
488,F,Clerk,1968,051-217-9247,Incidental
489,F,Clerk,1990,029-186-2513,Outdoor advertising
490,F,Student,1980,033-925-1226,Outdoor advertising
491,F,Student,1990,024-936-6692,Outdoor advertising
492,M,Civil servant,1965,019-177-3687,Outdoor advertising
493,F,Clerk,1983,039-842-3276,Incidental
494,M,Unemployed,1975,082-455-6263,Incidental
495,M,Self-employed,1981,097-393-3121,Radio
496,F,Self-employed,1991,058-412-7938,Outdoor advertising
497,F,Clerk,1963,053-771-2925,Internet
498,F,Self-employed,1992,017-543-4666,Outdoor advertising
499,M,Unemployed,1977,032-528-8676,Internet
500,M,Clerk,1966,093-191-4759,Outdoor advertising
501,M,Unemployed,1982,095-472-8422,Internet
502,F,Clerk,1982,024-713-6163,Friends
503,M,Student,1970,041-471-8313,Incidental
504,F,Civil servant,1964,022-692-1137,Incidental
505,F,Self-employed,1991,093-476-8839,Friends
506,M,Clerk,1968,089-656-5221,Outdoor advertising
507,M,Clerk,1981,092-328-5545,Incidental
508,F,Clerk,1977,045-718-4999,Internet
509,F,Self-employed,1976,069-638-2843,Outdoor advertising
510,F,Student,1985,074-962-5421,Friends
511,F,Self-employed,1989,096-118-5941,Outdoor advertising
512,F,Self-employed,1970,089-895-1652,Internet
513,M,Student,1974,078-121-9293,Outdoor advertising
514,F,Civil servant,1989,023-335-2359,Outdoor advertising
515,M,Civil servant,1963,091-375-8232,Outdoor advertising
516,M,Civil servant,1967,041-535-9446,Internet
517,F,Clerk,1984,032-527-9938,Outdoor advertising
518,F,Self-employed,1973,051-773-6542,Outdoor advertising
519,F,Student,1966,011-158-8664,Outdoor advertising
520,F,Self-employed,1988,092-173-9868,Internet
521,M,Unemployed,1960,023-137-1294,Friends
522,F,Civil servant,1961,048-324-2235,Incidental
523,F,Clerk,1990,096-454-3712,Internet
524,F,Unemployed,1967,028-364-8338,Friends
525,F,Student,1965,021-118-2955,Friends
526,F,Clerk,1986,094-956-6491,Outdoor advertising
527,M,Unemployed,1976,094-427-3664,Friends
528,M,Self-employed,1968,057-538-3162,Outdoor advertising
529,M,Student,1983,082-187-2696,Radio
530,F,Unemployed,1974,089-653-4864,Outdoor advertising
531,M,Clerk,1979,055-586-8627,Incidental
532,F,Self-employed,1981,024-942-6349,Outdoor advertising
533,F,Self-employed,1960,093-744-1161,Internet
534,F,Clerk,1989,015-923-8629,Friends
535,M,Clerk,1992,075-486-3396,Incidental
536,M,Clerk,1976,044-938-6927,Outdoor advertising
537,F,Student,1972,013-569-2846,Outdoor advertising
538,M,Self-employed,1962,072-334-1743,Friends
539,F,Self-employed,1986,049-221-9599,Radio
540,F,Self-employed,1961,093-722-4477,Friends
541,F,Clerk,1973,027-113-3711,Friends
542,M,Civil servant,1968,044-582-9449,Internet
543,M,Clerk,1977,075-269-9691,Outdoor advertising
544,M,Clerk,1960,088-111-1229,Outdoor advertising
545,F,Clerk,1985,049-893-4237,Incidental
546,M,Unemployed,1982,037-992-1265,Friends
547,M,Civil servant,1970,059-453-1891,Outdoor advertising
548,M,Student,1983,087-269-9365,Outdoor advertising
549,F,Student,1992,083-764-6828,Outdoor advertising
550,F,Self-employed,1986,044-693-7539,Friends
551,F,Student,1984,019-643-7896,Outdoor advertising
